system,temperature,element,identifier,formula,D_reported_cm2s,D_table_einstein_cm2s,D_table_mpconv_cm2s,msd_tmax_ps
Al-Li-Si,2000.0,Si,Li4AlSi-2000K,Li4AlSi,0.000450296,0.0001404898727468187,0.0004214696182404561,33.3
Al-Li-Si,2500.0,Li,Li4AlSi-2500K,Li4AlSi,0.00140372,0.00041285417512110646,0.0012385625253633194,32.9
Al-Li-Si,2500.0,Al,Li4AlSi-2500K,Li4AlSi,0.000875617,0.0003033545720449659,0.0009100637161348976,32.9
Al-Li-Si,2500.0,Si,Li4AlSi-2500K,Li4AlSi,0.000771741,0.00038308294562078727,0.0011492488368623618,32.9
Al-Li-Sn,1000.0,Li,Li4AlSn-1000K,Li4AlSn,0.000149504,4.9425247436485115e-05,0.00014827574230945534,32.9
Al-Li-Sn,1000.0,Al,Li4AlSn-1000K,Li4AlSn,5.31323e-05,1.818116870951694e-05,5.4543506128550816e-05,32.9
Al-Li-Sn,1000.0,Sn,Li4AlSn-1000K,Li4AlSn,2.04549e-05,6.050014526820642e-06,1.8150043580461926e-05,32.9
Al-Li-Sn,1500.0,Li,Li4AlSn-1500K,Li4AlSn,0.000463044,0.0001539164698978394,0.00046174940969351817,31.7
Al-Li-Sn,1500.0,Al,Li4AlSn-1500K,Li4AlSn,0.00030506,0.00014346843248318588,0.00043040529744955763,31.7
Al-Li-Sn,1500.0,Sn,Li4AlSn-1500K,Li4AlSn,0.00014759,6.0490560651191676e-05,0.00018147168195357502,31.7
Al-Li-Sn,2000.0,Li,Li4AlSn-2000K,Li4AlSn,0.000962709,0.00036285411385903696,0.001088562341577111,39.9
Al-Li-Sn,2000.0,Al,Li4AlSn-2000K,Li4AlSn,0.000596199,0.00017619848345168032,0.000528595450355041,39.9
Al-Li-Sn,2000.0,Sn,Li4AlSn-2000K,Li4AlSn,0.000331049,0.0001065037313726512,0.00031951119411795356,39.9
Al-Li-Sn,2500.0,Li,Li4AlSn-2500K,Li4AlSn,0.00147955,0.0004776871245594543,0.0014330613736783628,39.9
Al-Li-Sn,2500.0,Al,Li4AlSn-2500K,Li4AlSn,0.000871772,0.00022616846784087686,0.0006785054035226306,39.9
Al-Li-Sn,2500.0,Sn,Li4AlSn-2500K,Li4AlSn,0.000848253,0.00026603305142739754,0.0007980991542821926,39.9
As-F-Li,2500.0,Li,mp-9144,LiAsF6,0.000680853,0.0002041720915044592,0.0006125162745133775,14.4
As-F-Li,2500.0,As,mp-9144,LiAsF6,3.28065e-05,5.2777148489708615e-06,1.5833144546912585e-05,14.4
As-F-Li,2500.0,F,mp-9144,LiAsF6,0.00017036,1.3468370665354415e-05,4.040511199606325e-05,14.4
As-F-Li,1500.0,Li,mp-9144,LiAsF6,0.000146565,3.925166155637389e-05,0.00011775498466912167,25.9
As-F-Li,1500.0,As,mp-9144,LiAsF6,1.02774e-05,3.409631081643511e-06,1.0228893244930534e-05,25.9
As-F-Li,1500.0,F,mp-9144,LiAsF6,2.48148e-05,5.20373977546322e-06,1.5611219326389658e-05,25.9
As-F-Li,2000.0,Li,mp-9144,LiAsF6,0.000392799,0.00016528714590850646,0.0004958614377255195,31.5
As-F-Li,2000.0,As,mp-9144,LiAsF6,1.1814e-05,3.549478604904695e-06,1.0648435814714085e-05,31.5
As-F-Li,2000.0,F,mp-9144,LiAsF6,2.8995e-05,6.026616677627877e-06,1.807985003288363e-05,31.5
As-F-Li,1000.0,Li,mp-9144,LiAsF6,4.28991e-05,9.27478913237925e-06,2.782436739713775e-05,21.4
As-F-Li,1000.0,As,mp-9144,LiAsF6,,6.782116735614194e-07,2.034635020684258e-06,21.4
As-F-Li,1000.0,F,mp-9144,LiAsF6,1.11664e-05,3.3473138323643414e-06,1.0041941497093025e-05,21.4
As-Fe-Li,1500.0,Li,mp-21471,LiFeAs,0.000173867,6.468607834840713e-05,0.0001940582350452214,24.6
As-Fe-Li,1500.0,As,mp-21471,LiFeAs,3.23856e-05,1.0776407830810962e-05,3.232922349243289e-05,24.6
As-Fe-Li,1500.0,Fe,mp-21471,LiFeAs,4.35431e-05,1.4277828090880932e-05,4.28334842726428e-05,24.6
As-Fe-Li,2000.0,Li,mp-21471,LiFeAs,0.000394619,0.0001449172658327588,0.0004347517974982764,23.8
As-Fe-Li,2000.0,As,mp-21471,LiFeAs,0.000110267,3.826673923689769e-05,0.00011480021771069307,23.8
As-Fe-Li,2000.0,Fe,mp-21471,LiFeAs,0.000126961,3.782568582630203e-05,0.00011347705747890609,23.8
As-Fe-Li,2500.0,Li,mp-21471,LiFeAs,0.000697569,0.0001637469514867803,0.0004912408544603409,16.2
As-Fe-Li,2500.0,As,mp-21471,LiFeAs,0.000267653,9.168865584893752e-05,0.00027506596754681254,16.2
As-Fe-Li,2500.0,Fe,mp-21471,LiFeAs,0.000337737,0.00011648870603653832,0.00034946611810961496,16.2
As-Fe-Li,1000.0,Li,mp-21471,LiFeAs,4.79119e-05,1.502088240925007e-05,4.506264722775021e-05,17.5
As-Fe-Li,1000.0,As,mp-21471,LiFeAs,,3.1110895449698134e-07,9.333268634909441e-07,17.5
As-Fe-Li,1000.0,Fe,mp-21471,LiFeAs,,8.142680001007633e-07,2.44280400030229e-06,17.5
As-Li-Na-O,1500.0,Li,mp-9066,NaLi2AsO4,0.000160379,6.010530724991287e-05,0.00018031592174973859,25.2
As-Li-Na-O,1500.0,As,mp-9066,NaLi2AsO4,4.08868e-05,1.4118139037992336e-05,4.2354417113977006e-05,25.2
As-Li-Na-O,1500.0,Na,mp-9066,NaLi2AsO4,0.000130953,4.068019373765541e-05,0.00012204058121296624,25.2
As-Li-Na-O,1500.0,O,mp-9066,NaLi2AsO4,4.832e-05,1.5590965487393984e-05,4.677289646218196e-05,25.2
As-Li-Na-O,2000.0,Li,mp-9066,NaLi2AsO4,0.000376433,0.00012833570227946067,0.00038500710683838193,24.8
As-Li-Na-O,2000.0,As,mp-9066,NaLi2AsO4,5.17061e-05,2.031334491807244e-05,6.0940034754217315e-05,24.8
As-Li-Na-O,2000.0,Na,mp-9066,NaLi2AsO4,0.000288874,9.601200465566239e-05,0.00028803601396698716,24.8
As-Li-Na-O,2000.0,O,mp-9066,NaLi2AsO4,7.3133e-05,2.0882765306245843e-05,6.264829591873753e-05,24.8
As-Li-Na-O,1000.0,Li,mp-9066,NaLi2AsO4,4.02102e-05,8.712279531861055e-06,2.6136838595583164e-05,26.8
As-Li-Na-O,1000.0,As,mp-9066,NaLi2AsO4,,2.4614745322444593e-07,7.384423596733376e-07,26.8
As-Li-Na-O,1000.0,Na,mp-9066,NaLi2AsO4,1.77017e-05,5.584236954604708e-06,1.6752710863814124e-05,26.8
As-Li-Na-O,1000.0,O,mp-9066,NaLi2AsO4,2.21311e-06,5.815294216317767e-07,1.7445882648953301e-06,26.8
As-Li-Na-O,2500.0,Li,mp-9066,NaLi2AsO4,0.000717531,0.00027057811429863663,0.00081173434289591,22.0
As-Li-Na-O,2500.0,As,mp-9066,NaLi2AsO4,5.2627e-05,1.7255770302622222e-05,5.176731090786667e-05,22.0
As-Li-Na-O,2500.0,Na,mp-9066,NaLi2AsO4,0.000519808,0.00017858914560825402,0.000535767436824762,22.0
As-Li-Na-O,2500.0,O,mp-9066,NaLi2AsO4,0.00013065,2.216285200790306e-05,6.648855602370918e-05,22.0
As-Li-O,1500.0,Li,mp-9657,LiAsO3,0.000211098,8.327451748422088e-05,0.00024982355245266265,32.1
As-Li-O,1500.0,As,mp-9657,LiAsO3,1.2117e-05,3.5442477029247947e-06,1.0632743108774384e-05,32.1
As-Li-O,1500.0,O,mp-9657,LiAsO3,2.35848e-05,6.7801101898131865e-06,2.0340330569439557e-05,32.1
As-Li-O,2000.0,Li,mp-9657,LiAsO3,0.000374188,0.00012549343747676346,0.00037648031243029035,31.7
As-Li-O,2000.0,As,mp-9657,LiAsO3,7.56282e-05,2.0906811371068744e-05,6.272043411320623e-05,31.7
As-Li-O,2000.0,O,mp-9657,LiAsO3,0.000116384,3.3055707024979546e-05,9.916712107493864e-05,31.7
As-Li-O,1000.0,Li,mp-9657,LiAsO3,4.22246e-05,7.247549890924178e-06,2.1742649672772535e-05,23.7
As-Li-O,1000.0,As,mp-9657,LiAsO3,,8.270921706402677e-07,2.481276511920803e-06,23.7
As-Li-O,1000.0,O,mp-9657,LiAsO3,3.36062e-06,1.0847418193134407e-06,3.2542254579403222e-06,23.7
As-Li-O,2500.0,Li,mp-9657,LiAsO3,0.000771686,0.0002810430627411133,0.0008431291882233398,31.8
As-Li-O,2500.0,As,mp-9657,LiAsO3,0.000162792,6.0586201461605576e-05,0.0001817586043848167,31.8
As-Li-O,2500.0,O,mp-9657,LiAsO3,0.000259668,8.861864129810784e-05,0.0002658559238943235,31.8
As-Li-Si,1000.0,Li,Li9(SiAs2)2-1000K,Li9(SiAs2)2,0.00010766,3.868290995926394e-05,0.0001160487298777918,37.6
As-Li-Si,1000.0,As,Li9(SiAs2)2-1000K,Li9(SiAs2)2,266.236,7.185795801727771e-07,2.155738740518331e-06,37.6
As-Li-Si,1000.0,Si,Li9(SiAs2)2-1000K,Li9(SiAs2)2,4.12996e-06,1.65967504214075e-06,4.97902512642225e-06,37.6
As-Li-Si,1500.0,Li,Li9(SiAs2)2-1500K,Li9(SiAs2)2,0.000390627,0.00015167813589066944,0.0004550344076720083,39.9
As-Li-Si,1500.0,As,Li9(SiAs2)2-1500K,Li9(SiAs2)2,11600.0,3.656940508226417e-05,0.00010970821524679252,39.9
As-Li-Si,1500.0,Si,Li9(SiAs2)2-1500K,Li9(SiAs2)2,0.000158963,4.869329264252274e-05,0.00014607987792756823,39.9
As-Li-Si,2000.0,Li,Li9(SiAs2)2-2000K,Li9(SiAs2)2,0.000814318,0.0003023342758151617,0.0009070028274454851,39.3
As-Li-Si,2000.0,As,Li9(SiAs2)2-2000K,Li9(SiAs2)2,24660.0,7.2209237409864e-05,0.00021662771222959198,39.3
As-Li-Si,2000.0,Si,Li9(SiAs2)2-2000K,Li9(SiAs2)2,0.000375789,0.00018343788032884926,0.0005503136409865478,39.3
As-Li-Si,2500.0,Li,Li9(SiAs2)2-2500K,Li9(SiAs2)2,0.00129965,0.0004434870847809853,0.0013304612543429558,34.4
As-Li-Si,2500.0,As,Li9(SiAs2)2-2500K,Li9(SiAs2)2,0.000486572,0.000192628959711083,0.0005778868791332491,34.4
As-Li-Si,2500.0,Si,Li9(SiAs2)2-2500K,Li9(SiAs2)2,0.000777404,0.00033284997208422184,0.0009985499162526654,34.4
As-Li-Sn,1000.0,Li,Li14(Sn4As3)3-1000K,Li14(Sn4As3)3,0.000158299,3.866039547312941e-05,0.00011598118641938823,33.4
As-Li-Sn,1000.0,As,Li14(Sn4As3)3-1000K,Li14(Sn4As3)3,5.02534e-05,1.6164438202551603e-05,4.849331460765481e-05,33.4
As-Li-Sn,1000.0,Sn,Li14(Sn4As3)3-1000K,Li14(Sn4As3)3,10380.0,3.621789148317818e-05,0.00010865367444953454,33.4
As-Li-Sn,1500.0,Li,Li14(Sn4As3)3-1500K,Li14(Sn4As3)3,0.000526199,0.00016633064549285647,0.0004989919364785693,7.5
